source_index,section,section_row,original_english,original_spanish,source_abbreviation,canonical_english,canonical_spanish,action,resulting_id,duplicate_of_source_index,match_method,notes
1,Body Parts,1,Abdominal Cavity,Cavidad Abdominal,,Abdominal Cavity,Cavidad Abdominal,added,1106,,,
2,Body Parts,2,Armpit,Axila,,Armpit,Axila,added,1107,,,
3,Body Parts,3,Arms,Brazos,,Arms,Brazos,added,1108,,,
4,Body Parts,4,Belly,Barriga / estómago,,Belly,Barriga / estómago,added,1109,,,
5,Body Parts,5,Breast,"Senos, mamas",,Breast,"Senos, mamas",added,1110,,,
6,Body Parts,6,Calf,Pantorrilla,,Calf,Pantorrilla,added,1111,,,
7,Body Parts,7,Chest,Pecho,,Chest,Pecho,added,1112,,,
8,Body Parts,8,Crotch,Entrepierna,,Crotch,Entrepierna,added,1113,,,
9,Body Parts,9,Eardrum,Tímpano,,Eardrum,Tímpano,added,1114,,,
10,Body Parts,10,Earlobe,Oreja // Lóbulo,,Earlobe,Oreja // Lóbulo,added,1115,,,
11,Body Parts,11,Feet,Pies,,Feet,Pies,added,1116,,,
12,Body Parts,12,Fingers,Dedos de la mano,,Fingers,Dedos de la mano,added,1117,,,
13,Body Parts,13,Fontanella/ Crown of the head,Fontanela/ Mollera,,Fontanella/ Crown of the head,Fontanela/ Mollera,added,1118,,,
14,Body Parts,14,Forearm,Antebrazo,,Forearm,Antebrazo,added,1119,,,
15,Body Parts,15,Groin,Ingle,,Groin,Ingle,added,1120,,,
16,Body Parts,16,Hip,Cadera,,Hip,Cadera,added,1121,,,
17,Body Parts,17,Inner ear,Oido interno,,Inner ear,Oido interno,added,1122,,,
18,Body Parts,18,Knuckles,Nudillos de los dedos,,Knuckles,Nudillos de los dedos,added,1123,,,
19,Body Parts,19,Lap,Regazo / (cintura a las rodillas),,Lap,Regazo / (cintura a las rodillas),added,1124,,,
20,Body Parts,20,Legs,Piernas,,Legs,Piernas,added,1125,,,
21,Body Parts,21,Limbs,Extremidades,,Limbs,Extremidades,added,1126,,,
22,Body Parts,22,Lower back,Espalda baja,,Lower back,Espalda baja,added,1127,,,
23,Body Parts,23,Lower belly,Vientre,,Lower belly,Vientre,added,1128,,,
24,Body Parts,24,Middle ear,Oido medio,,Middle ear,Oido medio,added,1129,,,
25,Body Parts,25,Nape of the neck,Nuca,,Nape of the neck,Nuca,added,1130,,,
26,Body Parts,26,Ossicles,Huesecillos del oído,,Ossicles,Huesecillos del oído,added,1131,,,
27,Body Parts,27,Outer ear,Oido externo,,Outer ear,Oido externo,added,1132,,,
28,Body Parts,28,Palm of the hand,Palma de la mano,,Palm of the hand,Palma de la mano,added,1133,,,
29,Body Parts,29,Pelvis,Pelvis,,Pelvis,Pelvis,added,1134,,,
30,Body Parts,30,Pit of the stomach/ epigastrium,Boca del estómago/ epigastrio,,Pit of the stomach/ epigastrium,Boca del estómago/ epigastrio,added,1135,,,
31,Body Parts,31,Shin,Canilla/ espinilla,,Shin,Canilla/ espinilla,added,1136,,,
32,Body Parts,32,Sole/Bottom of the foot,Planta de los pies,,Sole/Bottom of the foot,Planta de los pies,added,1137,,,
33,Body Parts,33,Thigh,Muslo,,Thigh,Muslo,added,1138,,,
34,Body Parts,34,Thumb,Pulgar,,Thumb,Pulgar,added,1139,,,
35,Body Parts,35,Toes,Dedos de los pies,,Toes,Dedos de los pies,added,1140,,,
36,Body Parts,36,Upper back,Espalda Superior,,Upper back,Espalda Superior,added,1141,,,
37,Body Parts,37,Waist,Cintura,,Waist,Cintura,added,1142,,,
38,Body Parts,38,Wrist,Muñeca,,Wrist,Muñeca,added,1143,,,
39,Body Parts,39,Chin,Mentón/ barbilla,,Chin,Mentón/ barbilla,added,1144,,,
40,Body Parts,40,Forehead,Frente,,Forehead,Frente,added,1145,,,
41,Body Parts,41,Jaw,Mandíbula,,Jaw,Mandíbula,added,1146,,,
42,Brain and Nervous System,1,Brain,Cerebro,,Brain,Cerebro,added,1147,,,
43,Brain and Nervous System,2,Brainstem,Tallo cerebral,,Brainstem,Tallo cerebral,added,1148,,,
44,Brain and Nervous System,3,Central Nervous System- CNS,Sistema Nervioso Central,,Central Nervous System,Sistema Nervioso Central,added,1149,,,Sigla separada del término para mejorar la búsqueda.
45,Brain and Nervous System,4,Cerebellum,Cerebelo,,Cerebellum,Cerebelo,added,1150,,,
46,Brain and Nervous System,5,Cerebral Cortex,Corteza Cerebral,,Cerebral Cortex,Corteza Cerebral,added,1151,,,
47,Brain and Nervous System,6,Dura mater,Duramadre,,Dura mater,Duramadre,added,1152,,,
48,Brain and Nervous System,7,Hemispheres,Hemisferios,,Hemispheres,Hemisferios,added,1153,,,
49,Brain and Nervous System,8,Nerves,Nervios,,Nerves,Nervios,added,1154,,,
50,Brain and Nervous System,9,Neurons,Neuronas,,Neurons,Neuronas,added,1155,,,
51,Brain and Nervous System,10,Peripheral Nervous System,Sistema Nervioso Periférico,,Peripheral Nervous System,Sistema Nervioso Periférico,added,1156,,,
52,Brain and Nervous System,11,Pituitary Gland,Glándula Pituitaria,,Pituitary Gland,Glándula Pituitaria,added,1157,,,
53,Brain and Nervous System,12,Spinal Cord,Médula espinal,,Spinal Cord,Médula espinal,added,1158,,,
54,Brain and Nervous System,13,Spinal Fluid,Líquido cefalorraquídeo,,Spinal Fluid,Líquido cefalorraquídeo,added,1159,,,
55,Cardiovascular System,1,Aorta,Aorta,,Aorta,Aorta,added,1160,,,
56,Cardiovascular System,2,Arterial walls,Paredes arteriales,,Arterial walls,Paredes arteriales,added,1161,,,
57,Cardiovascular System,3,Arteries,Arterias,,Arteries,Arterias,added,1162,,,
58,Cardiovascular System,4,Atrium,Aurícula,,Atrium,Aurícula,added,1163,,,
59,Cardiovascular System,5,Blood vessels,Vasos sanguíneos,,Blood vessels,Vasos sanguíneos,added,1164,,,
60,Cardiovascular System,6,Erythrocytes (red blood cell),Eritrocitos (glóbulos rojos),,Erythrocytes (red blood cell),Eritrocitos (glóbulos rojos),added,1165,,,
61,Cardiovascular System,7,Heart valve,Válvula cardíaca,,Heart valve,Válvula cardíaca,added,1166,,,
62,Cardiovascular System,8,Leukocytes (white blood cells),Leucocitos (glóbulos blancos),,Leukocytes (white blood cells),Leucocitos (glóbulos blancos),added,1167,,,
63,Cardiovascular System,9,Myocardium,Miocardio,,Myocardium,Miocardio,added,1168,,,
64,Cardiovascular System,10,Platelets,Plaquetas,,Platelets,Plaquetas,added,1169,,,
65,Cardiovascular System,11,Red blood cells,Glóbulos rojos,,Red blood cells,Glóbulos rojos,added,1170,,,
66,Cardiovascular System,12,Serum (blood),Suero,,Serum (blood),Suero,added,1171,,,
67,Cardiovascular System,13,Thrombocytes,Trombocitos,,Thrombocytes,Trombocitos,added,1172,,,
68,Cardiovascular System,14,Veins,Venas,,Veins,Venas,added,1173,,,
69,Cardiovascular System,15,Ventricles,Ventrículos,,Ventricles,Ventrículos,added,1174,,,
70,Cardiovascular System,16,White Blood Cells,Glóbulos blancos,,White Blood Cells,Glóbulos blancos,added,1175,,,
71,Skeletal System,1,Achilles Tendon,Tendón de Aquiles,,Achilles Tendon,Tendón de Aquiles,added,1176,,,
72,Skeletal System,2,Ankle,Tobillo,,Ankle,Tobillo,added,1177,,,
73,Skeletal System,3,Arch of the foot,Arco del pie,,Arch of the foot,Arco del pie,added,1178,,,
74,Skeletal System,4,Backbone / Spine,Columna Vertebral,,Backbone / Spine,Columna Vertebral,updated_existing,17,,manual_existing_map,
75,Skeletal System,5,Bone spur,Espolón Óseo,,Bone spur,Espolón Óseo,added,1179,,,
76,Skeletal System,6,Cartilage,Cartílago,,Cartilage,Cartílago,added,1180,,,
77,Skeletal System,7,Cervicals,Vértebras Cervicales,,Cervicals,Vértebras Cervicales,added,1181,,,
78,Skeletal System,8,Collarbone/ Clavicle,Clavícula,,Collarbone/ Clavicle,Clavícula,added,1182,,,
79,Skeletal System,9,Coxis / tailbone,Coxis/ Colita,,Coxis / tailbone,Coxis/ Colita,added,1183,,,
80,Skeletal System,10,Cranium/ Skull,Cráneo,,Cranium/ Skull,Cráneo,added,1184,,,
81,Skeletal System,11,Empeine del pie,Instep,,Instep,Empeine del pie,added,1185,,,Columnas invertidas en la fuente; se conservan los valores originales en el CSV de procedencia.
82,Skeletal System,12,Femur,Fémur,,Femur,Fémur,added,1186,,,
83,Skeletal System,13,Fibula,Peroné,,Fibula,Peroné,added,1187,,,
84,Skeletal System,14,Heel bone,Hueso del talón,,Heel bone,Hueso del talón,added,1188,,,
85,Skeletal System,15,Hip bone,Cadera,,Hip bone,Cadera,added,1189,,,
86,Skeletal System,16,Intervertebral disks,Discos intervertebrales,,Intervertebral disks,Discos intervertebrales,added,1190,,,
87,Skeletal System,17,Kneecap/ patella,Rótula,,Kneecap/ patella,Rótula,added,1191,,,
88,Skeletal System,18,Lower back,Espalda baja,,Lower back,Espalda baja,consolidated_source_duplicate,1127,22,,
89,Skeletal System,19,Lumbar area,Area lumbar,,Lumbar area,Area lumbar,added,1192,,,
90,Skeletal System,20,Pelvic bone,Hueso pélvico,,Pelvic bone,Hueso pélvico,added,1193,,,
91,Skeletal System,21,Phalanges,Falánges,,Phalanges,Falánges,added,1194,,,
92,Skeletal System,22,Radius/Ulna,Radio/ Cúbito,,Radius/Ulna,Radio/ Cúbito,added,1195,,,
93,Skeletal System,23,Ribcage,Caja torácica,,Ribcage,Caja torácica,added,1196,,,
94,Skeletal System,24,Ribs,Costillas,,Ribs,Costillas,added,1197,,,
95,Skeletal System,25,Rotating cuff,Manguito Rotador (hombro),,Rotating cuff,Manguito Rotador (hombro),added,1198,,,
96,Skeletal System,26,Shoulder Blade/ Scapula,Omóplato,,Shoulder Blade/ Scapula,Omóplato,added,1199,,,
97,Skeletal System,27,Sternum,Esternón,,Sternum,Esternón,added,1200,,,
98,Skeletal System,28,Tibia,Tibia,,Tibia,Tibia,added,1201,,,
99,Skeletal System,29,Ulna,Cúbito,,Ulna,Cúbito,added,1202,,,
100,Lymphatic System,1,Adenoids,Adenoides,,Adenoids,Adenoides,added,1203,,,
101,Lymphatic System,2,Antibodies,Anticuerpos,,Antibodies,Anticuerpos,added,1204,,,
102,Lymphatic System,3,Appendix,Apéndice,,Appendix,Apéndice,added,1205,,,
103,Lymphatic System,4,Bone marrow,Médula ósea,,Bone marrow,Médula ósea,added,1206,,,
104,Lymphatic System,5,Lymph nodes,Ganglios linfáticos,,Lymph nodes,Ganglios linfáticos,added,1207,,,
105,Lymphatic System,6,Spleen,Bazo,,Spleen,Bazo,added,1208,,,
106,Lymphatic System,7,Tonsils,Amígdalas,,Tonsils,Amígdalas,added,1209,,,
107,Male Reproductive System,1,Crotch,Entrepierna,,Crotch,Entrepierna,consolidated_source_duplicate,1113,8,,
108,Male Reproductive System,2,Epididymis,Epidídimo,,Epididymis,Epidídimo,added,1210,,,
109,Male Reproductive System,3,Foreskin,Prepucio,,Foreskin,Prepucio,added,1211,,,
110,Male Reproductive System,4,Groin,Ingle,,Groin,Ingle,consolidated_source_duplicate,1120,15,,
111,Male Reproductive System,5,Penis,Pene,,Penis,Pene,added,1212,,,
112,Male Reproductive System,6,Prostate,Próstata,,Prostate,Próstata,added,1213,,,
113,Male Reproductive System,7,Scrotum,Escroto,,Scrotum,Escroto,added,1214,,,
114,Male Reproductive System,8,Sperm,Esperma,,Sperm,Esperma,added,1215,,,
115,Male Reproductive System,9,Testicles,Testículos,,Testicles,Testículos,added,1216,,,
116,Female Reproductive System,1,Birth Canal,Canal de parto,,Birth Canal,Canal de parto,added,1217,,,
117,Female Reproductive System,2,Cervix,Cuello Uterino,,Cervix,Cuello Uterino,added,1218,,,
118,Female Reproductive System,3,Clitoris,Clítoris,,Clitoris,Clítoris,added,1219,,,
119,Female Reproductive System,4,Eggs,Òvulos,,Eggs,Òvulos,added,1220,,,
120,Female Reproductive System,5,Endometrium,Endometrio,,Endometrium,Endometrio,added,1221,,,
121,Female Reproductive System,6,Fallopian Tubes,Trompas de Falopio,,Fallopian Tubes,Trompas de Falopio,added,1222,,,
122,Female Reproductive System,7,Fundus,Fondo del útero,,Fundus,Fondo del útero,added,1223,,,
123,Female Reproductive System,8,Ovaries,Ovarios,,Ovaries,Ovarios,added,1224,,,
124,Female Reproductive System,9,Uterine Lining,Revestimiento uterino,,Uterine Lining,Revestimiento uterino,added,1225,,,
125,Female Reproductive System,10,Uterus,Utero,,Uterus,Utero,added,1226,,,
126,Female Reproductive System,11,Vagina,Vagina,,Vagina,Vagina,added,1227,,,
127,Female Reproductive System,12,Womb,Vientre/ Claustro/ Matriz,,Womb,Vientre/ Claustro/ Matriz,added,1228,,,
128,Female Reproductive System,13,Placenta,Placenta,,Placenta,Placenta,added,1229,,,
129,Digestive System,1,Anus,Ano,,Anus,Ano,added,1230,,,
130,Digestive System,2,Ascending Colon,Colon ascendente,,Ascending Colon,Colon ascendente,added,1231,,,
131,Digestive System,3,Bile,Bilis,,Bile,Bilis,added,1232,,,
132,Digestive System,4,Biliary Duct,Tracto o conducto Biliar,,Biliary Duct,Tracto o conducto Biliar,added,1233,,,
133,Digestive System,5,Bowels,Intestinos,,Bowels,Intestinos,added,1234,,,
134,Digestive System,6,Cecum,Ciego,,Cecum,Ciego,added,1235,,,
135,Digestive System,7,Colon,Colon,,Colon,Colon,added,1236,,,
136,Digestive System,8,Descending Colon,Colon ascendente,,Descending Colon,Colon descendente,added,1237,,,Se corrigió una contradicción interna con Ascending Colon; la forma original permanece en el CSV de procedencia.
137,Digestive System,9,Digestive Tube,Tubo Digestivo,,Digestive Tube,Tubo Digestivo,added,1238,,,
138,Digestive System,10,Duodenum,Duodeno,,Duodenum,Duodeno,added,1239,,,
139,Digestive System,11,Enzymes,Enzimas,,Enzymes,Enzimas,added,1240,,,
140,Digestive System,12,Esophagus,Esófago,,Esophagus,Esófago,added,1241,,,
141,Digestive System,13,Gallbladder,Vesícula Biliar,,Gallbladder,Vesícula Biliar,added,1242,,,
142,Digestive System,14,Gallstones,Piedras en la vesícula,,Gallstones,Piedras en la vesícula,added,1243,,,
143,Digestive System,15,Gastric Mucosa,Mucosa Gástrica,,Gastric Mucosa,Mucosa Gástrica,added,1244,,,
144,Digestive System,16,Large Intestine,Intestino Grueso,,Large Intestine,Intestino Grueso,added,1245,,,
145,Digestive System,17,Liver,Hígado,,Liver,Hígado,added,1246,,,
146,Digestive System,18,Liver enzymes,Enzimas hepáticas,,Liver enzymes,Enzimas hepáticas,added,1247,,,
147,Digestive System,19,Pancreas,Pancreas,,Pancreas,Pancreas,added,1248,,,
148,Digestive System,20,Parotid glands,Glándulas parótidas,,Parotid glands,Glándulas parótidas,added,1249,,,
149,Digestive System,21,Rectum,Recto,,Rectum,Recto,added,1250,,,
150,Digestive System,22,Saliva,Saliva,,Saliva,Saliva,added,1251,,,
151,Digestive System,23,Sigmoid,Sigmoide,,Sigmoid,Sigmoide,added,1252,,,
152,Digestive System,24,Small Intestine,Intestino delgado,,Small Intestine,Intestino delgado,added,1253,,,
153,Digestive System,25,Sphincter,Esfínter,,Sphincter,Esfínter,added,1254,,,
154,Digestive System,26,Stomach,Estomago,,Stomach,Estomago,added,1255,,,
155,Digestive System,27,Stomach Acid,Acido estomacal,,Stomach Acid,Acido estomacal,added,1256,,,
156,Digestive System,28,Transverse Colon,Colon transversal,,Transverse Colon,Colon transversal,added,1257,,,
157,Head and Respiratory System,1,Adam's Apple,Manzana de Adán,,Adam's Apple,Manzana de Adán,added,1258,,,
158,Head and Respiratory System,2,Airways,Vias respiratorias,,Airways,Vias respiratorias,added,1259,,,
159,Head and Respiratory System,3,Alveoli,Alveolos,,Alveoli,Alveolos,added,1260,,,
160,Head and Respiratory System,4,Bronchioles,Bronquiolos,,Bronchioles,Bronquiolos,added,1261,,,
161,Head and Respiratory System,5,Bronchi,Bronquios,,Bronchi,Bronquios,added,1262,,,
162,Head and Respiratory System,6,Larynx/voice box,Laringe,,Larynx/voice box,Laringe,added,1263,,,
163,Head and Respiratory System,7,Nasal Cavity,Cavidad Nasal,,Nasal Cavity,Cavidad Nasal,added,1264,,,
164,Head and Respiratory System,8,Nasal Mucosa (lining),Mucosa Nasal,,Nasal Mucosa (lining),Mucosa Nasal,added,1265,,,
165,Head and Respiratory System,9,Nasal Passages,Pasajes nasales,,Nasal Passages,Pasajes nasales,added,1266,,,
166,Head and Respiratory System,10,Nostrils/Nares,Fosas nasales,,Nostrils/Nares,Fosas nasales,added,1267,,,
167,Head and Respiratory System,11,Pharynx,Faringe,,Pharynx,Faringe,added,1268,,,
168,Head and Respiratory System,12,Sinuses,Senos paranasales,,Sinuses,Senos paranasales,added,1269,,,
169,Head and Respiratory System,13,Temples,Sienes,,Temples,Sienes,added,1270,,,
170,Head and Respiratory System,14,Vocal Cords,Cuerdas Vocales,,Vocal Cords,Cuerdas Vocales,added,1271,,,
171,Head and Respiratory System,15,Windpipe/ Trachea,Tráquea,,Windpipe/ Trachea,Tráquea,added,1272,,,
172,Endocrine System,1,Adrenal glands,Glándulas suprarrenales,,Adrenal glands,Glándulas suprarrenales,added,1273,,,
173,Endocrine System,2,Hypothalamus,Hipotálamo,,Hypothalamus,Hipotálamo,added,1274,,,
174,Endocrine System,3,Pancreas,Pancreas,,Pancreas,Pancreas,consolidated_source_duplicate,1248,147,,
175,Endocrine System,4,Parathyroid,Glándula Paratiroides,,Parathyroid,Glándula Paratiroides,added,1275,,,
176,Endocrine System,5,Pituitary Gland,Glándula Pituitaria,,Pituitary Gland,Glándula Pituitaria,consolidated_source_duplicate,1157,52,,
177,Endocrine System,6,Thyroid Gland,Glándula Tiroides,,Thyroid Gland,Glándula Tiroides,added,1276,,,
178,Hormones and Neurotransmitters,1,Adrenaline,Adrenalina,,Adrenaline,Adrenalina,added,1277,,,
179,Hormones and Neurotransmitters,2,Cortisol,Cortisol,,Cortisol,Cortisol,added,1278,,,
180,Hormones and Neurotransmitters,3,Human growth hormone- HGH,Hormona del Crecimiento Humano,,Human growth hormone,Hormona del Crecimiento Humano,added,1279,,,Sigla separada del término para mejorar la búsqueda.
181,Hormones and Neurotransmitters,4,Insuline,Insulina,,Insuline,Insulina,added,1280,,,
182,Hormones and Neurotransmitters,5,Neurotransmitter,Neurotransmisor,,Neurotransmitter,Neurotransmisor,added,1281,,,
183,Hormones and Neurotransmitters,6,Prolactine,Prolactina,,Prolactine,Prolactina,added,1282,,,
184,Hormones and Neurotransmitters,7,Progesterone,Progesterona,,Progesterone,Progesterona,added,1283,,,
185,Hormones and Neurotransmitters,8,Estrogen,Estrógeno,,Estrogen,Estrógeno,added,1284,,,
186,Hormones and Neurotransmitters,9,Testosterone,Testosterona,,Testosterone,Testosterona,added,1285,,,
187,Specialties & Facilities,1,Allergology,Alergología,,Allergology,Alergología,added,1286,,,
188,Specialties & Facilities,2,Anesthesiology,Anestesiología,,Anesthesiology,Anestesiología,added,1287,,,
189,Specialties & Facilities,3,Audiology,Audiología,,Audiology,Audiología,added,1288,,,
190,Specialties & Facilities,4,Cardiology,Cardiología,,Cardiology,Cardiología,added,1289,,,
191,Specialties & Facilities,5,Dentistry / Odontology,Odontología,,Dentistry / Odontology,Odontología,added,1290,,,
192,Specialties & Facilities,6,Emergency Room - ER,Sala de emergencias,,Emergency Room,Sala de emergencias,updated_existing,48,,exact_english_or_abbreviation,Sigla separada del término para mejorar la búsqueda.
193,Specialties & Facilities,7,Endocrinology,Endocronología,,Endocrinology,Endocronología,added,1291,,,
194,Specialties & Facilities,8,ENT Department,Otorrinolaringología,,ENT Department,Otorrinolaringología,added,1292,,,
195,Specialties & Facilities,9,Facility,Centro / instalaciones,,Facility,Centro / instalaciones,added,1293,,,
196,Specialties & Facilities,10,Family Planning,Planificación familiar,,Family Planning,Planificación familiar,added,1294,,,
197,Specialties & Facilities,11,Front desk,Recepción,,Front desk,Recepción,updated_existing,33,,exact_english_or_abbreviation,
198,Specialties & Facilities,12,Genetics,Genética,,Genetics,Genética,added,1295,,,
199,Specialties & Facilities,13,Geriatrics,Geriatría,,Geriatrics,Geriatría,added,1296,,,
200,Specialties & Facilities,14,GI Department/ Gastroenterology,Gastroenterología,,GI Department/ Gastroenterology,Gastroenterología,added,1297,,,
201,Specialties & Facilities,15,Gynecology,Ginecología,,Gynecology,Ginecología,added,1298,,,
202,Specialties & Facilities,16,Hematology,Hemtología,,Hematology,Hemtología,added,1299,,,
203,Specialties & Facilities,17,Hospice,Hospicio/ casa de cuidados paliativos,,Hospice,Hospicio/ casa de cuidados paliativos,added,1300,,,
204,Specialties & Facilities,18,Imaging department,Departamento de imágenes,,Imaging department,Departamento de imágenes,added,1301,,,
205,Specialties & Facilities,19,Infectious Diseases,Enfermedades Infecciosas,,Infectious Diseases,Enfermedades Infecciosas,added,1302,,,
206,Specialties & Facilities,20,Intensive Care Unit- ICU,Unidad de Cuidados Intensivos,,Intensive Care Unit,Unidad de Cuidados Intensivos,updated_existing,830,,exact_english_or_abbreviation,Sigla separada del término para mejorar la búsqueda.
207,Specialties & Facilities,21,Internal Medicine,Medicina interna,,Internal Medicine,Medicina interna,added,1303,,,
208,Specialties & Facilities,22,Labor and Delivery Unit,Unidad de labor y parto,,Labor and Delivery Unit,Unidad de labor y parto,added,1304,,,
209,Specialties & Facilities,23,Maternal Fetal Medicine,Medicina materno-fetal,,Maternal Fetal Medicine,Medicina materno-fetal,added,1305,,,
210,Specialties & Facilities,24,Maxillofacial,Maxilofacial,,Maxillofacial,Maxilofacial,added,1306,,,
211,Specialties & Facilities,25,Nephrology,Nefrología,,Nephrology,Nefrología,added,1307,,,
212,Specialties & Facilities,26,Neurology,Neurología,,Neurology,Neurología,added,1308,,,
213,Specialties & Facilities,27,Neurosurgery,Neurocirugía,,Neurosurgery,Neurocirugía,added,1309,,,
214,Specialties & Facilities,28,Nursing home,Asilo,,Nursing home,Asilo,added,1310,,,
215,Specialties & Facilities,29,Nursery,Sala cuna (recién nacidos),,Nursery,Sala cuna (recién nacidos),added,1311,,,
216,Specialties & Facilities,30,OBGYN,Gineco-obstetricia,,OBGYN,Gineco-obstetricia,added,1312,,,
217,Specialties & Facilities,31,Obstetrics,Obstetricia,,Obstetrics,Obstetricia,added,1313,,,
218,Specialties & Facilities,32,Occupational Therapy,Terapia ocupacional,,Occupational Therapy,Terapia ocupacional,updated_existing,842,,manual_existing_map,
219,Specialties & Facilities,33,Oncology,Oncología,,Oncology,Oncología,added,1314,,,
220,Specialties & Facilities,34,Operating Room,Sala de operaciones/ Quirófano,,Operating Room,Sala de operaciones/ Quirófano,updated_existing,36,,exact_english_or_abbreviation,
221,Specialties & Facilities,35,Ophthalmology,Oftalmología,,Ophthalmology,Oftalmología,added,1315,,,
222,Specialties & Facilities,36,Optics,Óptica,,Optics,Óptica,added,1316,,,
223,Specialties & Facilities,37,Orthodontics,Ortodoncia,,Orthodontics,Ortodoncia,added,1317,,,
224,Specialties & Facilities,38,Orthopedics,Ortopedia,,Orthopedics,Ortopedia,added,1318,,,
225,Specialties & Facilities,39,Pain Management Clinic,Clínica de Manejo del dolor,,Pain Management Clinic,Clínica de Manejo del dolor,added,1319,,,
226,Specialties & Facilities,40,Palliative Medicine,Medicina Paliativa,,Palliative Medicine,Medicina Paliativa,added,1320,,,
227,Specialties & Facilities,41,Pathology,Patología,,Pathology,Patología,added,1321,,,
228,Specialties & Facilities,42,Pediatrics,Pediatría,,Pediatrics,Pediatría,added,1322,,,
229,Specialties & Facilities,43,Physical Therapy,Terapia Fisica,,Physical Therapy,Terapia Fisica,added,1323,,,
230,Specialties & Facilities,44,Physiotherapy,Fisioterapia,,Physiotherapy,Fisioterapia,added,1324,,,
231,Specialties & Facilities,45,Plastic Surgery,Cirugía Plástica,,Plastic Surgery,Cirugía Plástica,added,1325,,,
232,Specialties & Facilities,46,Podiatry,Podología,,Podiatry,Podología,added,1326,,,
233,Specialties & Facilities,47,Psychiatry,Psiquiatría,,Psychiatry,Psiquiatría,added,1327,,,
234,Specialties & Facilities,48,Psychology,Psicología,,Psychology,Psicología,added,1328,,,
235,Specialties & Facilities,49,Radiology,Radiología,,Radiology,Radiología,added,1329,,,
236,Specialties & Facilities,50,Recovery Room,Sala de Recuperación,,Recovery Room,Sala de Recuperación,added,1330,,,
237,Specialties & Facilities,51,Rehab Center,Centro de Rehabilitación,,Rehab Center,Centro de Rehabilitación,added,1331,,,
238,Specialties & Facilities,52,Rheumatology,Reumatología,,Rheumatology,Reumatología,added,1332,,,
239,Specialties & Facilities,53,Speech Therapy,Terapia del habla,,Speech Therapy,Terapia del habla,added,1333,,,
240,Specialties & Facilities,54,Sports Medicine,Medicina deportiva,,Sports Medicine,Medicina deportiva,added,1334,,,
241,Specialties & Facilities,55,Thoracic Surgery,Cirugía Torácica,,Thoracic Surgery,Cirugía Torácica,added,1335,,,
242,Specialties & Facilities,56,Urgent Care Unit,Unidad de Cuidados de Urgencia,,Urgent Care Unit,Unidad de Cuidados de Urgencia,added,1336,,,
243,Specialties & Facilities,57,Urology,Urología,,Urology,Urología,added,1337,,,
244,Specialties & Facilities,58,Vascular Surgery,Cirugía Vascular,,Vascular Surgery,Cirugía Vascular,added,1338,,,
