english,spanish,section,source_page
12th month term,Plazo a 12 meses,finance,1
Accounts payable,Cuentas por pagar,finance,1
Accrued interest,Intereses devengados,finance,1
Acquisition fee,Cuota de adquisición,finance,1
Acts of God,Actos de fuerza mayor,finance,1
Added value,Valor agregado,finance,1
Adjustable rate mortgage (ARM),Tasa hipotecaria ajustable,finance,1
Adjusted gross income,Ingreso bruto ajustado,finance,1
Administration fees,Gastos de administración,finance,1
Affidavit,Declaración jurada,finance,1
Annual interest rate,Tasa de interés anual,finance,1
Appraisal,Avalúo,finance,1
Appraised value,Valor del avalúo,finance,1
Assets,Activos; bienes,finance,1
Attorney fees,Honorarios de abogado,finance,1
Average market price,Precio promedio en el mercado,finance,1
Bank branch,Sucursal de un banco,finance,1
Bank statements,Estados de cuenta bancarios,finance,1
Bankruptcy,Quiebra; bancarrota,finance,1
Becoming (get) current,Poniendo al corriente,finance,1
Bill consolidation,Consolidación de cuentas,finance,1
Bond,Fianza,finance,1
Borrower,Prestatario,finance,1
Business days,Días hábiles,finance,1
Buying power,Poder adquisitivo,finance,1
Cap,Tope,finance,1
Capital gains,Ganancias de capital,finance,1
Capital loss,Pérdida de capital,finance,1
Cash advance,Adelanto de dinero en efectivo,finance,1
Cash assets,Activo en efectivo,finance,1
Cash inflow,Flujo en efectivo; flujo de caja,finance,1
Cash purchase,Compra en efectivo; al contado,finance,1
Cash transaction,Transacción en efectivo,finance,1
Cash value,Valor en efectivo,finance,1
Cashier’s check,"Cheque certificado, cheque de caja",finance,1
Cashless hold,Retención sin efectivo,finance,2
Cashless sale,Venta sin efectivo,finance,2
Ceiling price,Precio tope,finance,2
Certificates of Deposit,Certificados de depósito,finance,2
Charge-off (debt0,Pérdidas en préstamos; deuda castigada,finance,2
Check has cleared,Cheque ha sido cobrado,finance,2
"Closing costs, closing fee",Gastos de cierre,finance,2
Co-applicant,Co-solicitante,finance,2
Co-owner,Copropietaria,finance,2
Co-sign,Firmar como aval o fiador,finance,2
Co-signer,Fiador,finance,2
Collateral,"Garantía, propiedad en garantía",finance,2
Collections agency,Agencia de cobranzas,finance,2
Common stocks,Acciones comunes,finance,2
Compound interest,Interés compuesto,finance,2
Compound interest rate,Tasa de interés compuesto,finance,2
Consumer Credit Report,Reporte de crédito del consumidor,finance,2
Consumer Price Index,Índice de precios al consumidor,finance,2
Contribute (to),Aportar,finance,2
Contributions,Aportaciones,finance,2
Conventional loan,Préstamo corriente; acostumbrado,finance,2
Credit bureau rating,Clasificación crediticia,finance,2
Credit Bureau.,Agencia de información de crédito,finance,2
"Credit check, (to do)",Investigación de crédito (realizar una),finance,2
Credit grantor,Otorgante de crédito,finance,2
Credit rating,Clasificación de crédito,finance,2
Credit report,Reporte de crédito,finance,2
Credit scoring,Puntaje de crédito,finance,2
Credit standing,Reputación crediticia,finance,2
Creditworthiness,Reputación en materia de crédito,finance,2
Currency,Moneda,finance,2
Currency conversion loss,Pérdida en la transferencia de la moneda,finance,2
Currency devaluation,Devaluación de la moneda,finance,2
Current yield,Rendimiento actual,finance,2
Customs broker,Agente aduanal,finance,2
Debit balance,Saldo deudor,finance,2
Deed,Escritura (casa),finance,3
Default (in payment),"Incumplimiento, mora, falta de pago",finance,3
Deferred payment,Pago diferido,finance,3
Delay in paying a bill or account,Demorarse en pagar una cuenta,finance,3
Delinquent payment,"Pago moroso, con atrasos",finance,3
Derogatory report,Reporte que desacredita; malas referencias,finance,3
Disability,Incapacidad,finance,3
Disclaimer,Declinación de responsabilidad,finance,3
Disclosure,Declaración,finance,3
Down payment,Enganche,finance,3
Early withdrawal penalty,Multa por retiro prematuro,finance,3
Earned income,Ingreso devengado,finance,3
Earning power,Poder adquisitivo,finance,3
"Earnings, profit; income","Ingresos, ganancias",finance,3
Earnings/debt ratio,Porcentaje de ingresos comparado con deudas,finance,3
Endorse,Endosar,finance,3
Equity,Capital; valor no comprometido de una propiedad,finance,3
Equity funds,Fondo de inversión en acciones,finance,3
Escrow account,Fondo o cuenta de depósito en garantía; en custodia,finance,3
