source_row,original_english,original_spanish,normalized_english,normalized_spanish,action,resulting_id,notes
1,Payment Arrangement,Arreglo de pago,Payment arrangement,Arreglo de pago,added,926,
2,Paystubs,Talones de pago (de planilla),Pay stub (check),Talonario de cheque de nómina,updated_existing,365,Se normalizó la separación de pay stubs.
3,Pessary,Pesario,Pessary,Pesario,added,927,
4,Pesticides,Pesticidas,Pesticides,Pesticidas,added,928,
5,Pint,Pinta,Pint,Pinta,added,929,
6,Poison Ivy,Hiedra Venenosa,Poison ivy,Hiedra venenosa,added,930,
7,Premium,Prima,Premium,Prima,updated_existing,661,Se consolidó con una ficha existente.
8,Prescription,Receta médica,prescription / prescribe,receta / recetar,updated_existing,51,Se consolidó con una ficha existente.
9,Prior Authorization,Autorización previa,Prior authorization,Autorización previa,added,931,
10,Prognosis,Pronóstico,Prognosis,Pronóstico,added,932,
11,Quarter / Trimester,Trimestre,Trimester (pregnancy),Trimestre,added,933,Se especificó el contexto de embarazo para no confundirlo con quarter financiero.
12,Razor,Navaja / Rasuradora,Razor,Navaja / Rasuradora,added,934,
13,Referral,Referido / Remision,Referral,Remisión / referido,added,935,
14,Refill,Reabastecer,refill a prescription,resurtir / reabastecer un medicamento,updated_existing,54,Se consolidó con una ficha existente.
15,Reschedule,Reprogramar,Reschedule,Reprogramar,added,936,
16,Right handed,Diestro,Right-handed,Diestro / diestra,added,937,Se normalizó la forma con guion.
17,Roaches,Cucarachas,Roaches,Cucarachas,added,938,
18,Rx BIN number,Número de identificación de Beneficios para Recetas,Rx BIN number,Número BIN de beneficios de farmacia,added,939,
19,Rx PCN number,Número de Control de Procesador de Recetas,Rx PCN number,Número PCN de control del procesador de recetas,added,940,
20,Schedule,Programar / Calendario,schedule (verb),programar / agendar,updated_existing,39,Se consolidó con una ficha existente.
21,SSI - Supplemental Security Income,Ingreso de Seguro Suplementario,SSI (Supplemental Security Income),Seguridad de Ingreso Suplementario,updated_existing,802,Se consolidó con una ficha existente.
22,Strain,Hacer fuerza,Strain,Hacer fuerza,added,941,
23,Ticks,Garrapatas,Ticks,Garrapatas,added,942,
24,"Tier 1, 2, 3","Nivel 1, 2, 3","Tier 1, 2, 3","Nivel 1, 2, 3",added,943,
25,Unearned Income,Ingreso No Devengado,Unearned income,Ingreso no devengado,added,944,
26,Utilities,Servicios Públicos,utilities,servicios públicos,updated_existing,66,Se consolidó con una ficha existente.
27,Vending Machine,Maquina dispensadora de golosinas,Vending machine,Máquina expendedora / dispensadora,added,945,
28,Voucher,"Comprobante / Cupón, Vale",Voucher,Comprobante,updated_existing,453,Se consolidó con una ficha existente.
29,Assist,Ayudar,Assist,Ayudar,added,946,
30,Attend / Go to,Acudir / Asistir (a un lugar),Attend / Go to,Acudir / Asistir (a un lugar),added,947,
31,Auscultate,Auscultar,Auscultate,Auscultar,added,948,
32,Bleed,Sangrar,Bleed,Sangrar,added,949,
33,Blow the nose,Soplarse la nariz,Blow your nose,Soplarse la nariz,added,950,
34,Bottle Feed,Dar biberón,bottle-feed / baby bottle,dar biberón / biberón,updated_existing,31,Se consolidó con una ficha existente.
35,Breastfeed,Dar pecho,breastfeeding,lactancia materna / amamantar,updated_existing,30,Se consolidó con una ficha existente.
36,Burp,Eructar,Burp,Eructar,added,951,
37,Call in the prescription,Enviar la receta,Call in a prescription,Enviar / llamar una receta a la farmacia,added,952,
38,Calm down,Calmarse,Calm down,Calmarse,added,953,
39,Chew,Masticar,Chew,Masticar,added,954,
40,Conduct,Conducir / Llevar a cabo,Conduct,Conducir / Llevar a cabo,added,955,
41,Crawl,Arrastrarse / Gatear,Crawl,Arrastrarse / Gatear,added,956,
42,Deliver,"Entregar / Parir, Dar a luz",Deliver,Entregar / dar a luz,added,957,
43,Desinfect,Desinfectar,Disinfect,Desinfectar,added,958,Se corrigió la grafía inglesa Desinfect → Disinfect.
44,Diagnose,Diagnosticar,Diagnose,Diagnosticar,added,959,
45,Dislocate / Dislodge,Dislocar,Dislocate / dislodge,Dislocar / desprender,added,960,
46,Do surgery,Hacer una cirugía,Perform surgery,Hacer / realizar una cirugía,added,961,Se normalizó a Perform surgery.
