id,english,spanish,category,subcategory,abbreviation,synonyms_en,synonyms_es,pronunciation,definition_es,clinical_context,caution,source_name,source_url,review_status,reviewed_by,review_date,notes,entry_type,meaning_group,context_note,spanish_neutral,spanish_us,spanish_latam,regional_variants,priority,frequency,difficulty,publication_status,source_accessed_date,created_date,updated_date,version,change_notes
1,Shortness of breath,Dificultad para respirar,Síntomas,Respiratorio,,,Disnea,/short-nes ov breth/,Sensación de falta de aire o dificultad para respirar.,The patient reports shortness of breath at rest.,No traducir literalmente como cortedad de respiración.,MedlinePlus,https://medlineplus.gov/spanish/,Borrador,,,,Término,,,,,,,Alta,Frecuente,Básica,Demo,2026-07-10,2026-07-10,2026-07-10,1.0,Registro inicial
2,Blood pressure,Presión arterial,Signos vitales,Cardiovascular,BP,,,/blud preh-sher/,Fuerza que ejerce la sangre contra las paredes arteriales.,We need to check your blood pressure.,,MedlinePlus,https://medlineplus.gov/spanish/,Borrador,,,,Término,,,,,,,Alta,Frecuente,Básica,Demo,2026-07-10,2026-07-10,2026-07-10,1.0,Registro inicial
3,Complete blood count,Hemograma completo,Procedimientos,Laboratorio,CBC,,,/com-pleet blud count/,Análisis que mide células sanguíneas y otros componentes de la sangre.,The provider ordered a complete blood count.,,MedlinePlus,https://medlineplus.gov/spanish/,Borrador,,,,Término,,,,,,,Alta,Frecuente,Básica,Demo,2026-07-10,2026-07-10,2026-07-10,1.0,Registro inicial
4,Over-the-counter medication,Medicamento de venta libre,Medicamentos,Administración,OTC,,,/oh-ver the count-er med-i-kay-shun/,Medicamento que puede comprarse sin receta médica.,Are you taking any over-the-counter medication?,,MedlinePlus,https://medlineplus.gov/spanish/,Borrador,,,,Término,,,,,,,Alta,Frecuente,Básica,Demo,2026-07-10,2026-07-10,2026-07-10,1.0,Registro inicial
5,Primary care physician,Médico de atención primaria,Especialidades,Atención primaria,PCP,,,/pry-mair-ee care fi-zish-an/,Profesional que brinda atención general y coordina referencias.,Please follow up with your primary care physician.,,MedlinePlus,https://medlineplus.gov/spanish/,Borrador,,,,Término,,,,,,,Alta,Frecuente,Básica,Demo,2026-07-10,2026-07-10,2026-07-10,1.0,Registro inicial
6,Heartburn,Acidez estomacal,Síntomas,Digestivo,,,Pirosis,/hart-burn/,Sensación de ardor en el pecho causada frecuentemente por reflujo.,Spicy foods trigger my heartburn.,No significa quemadura del corazón.,MedlinePlus,https://medlineplus.gov/spanish/,Borrador,,,,Término,,,,,,,Alta,Frecuente,Básica,Demo,2026-07-10,2026-07-10,2026-07-10,1.0,Registro inicial
7,Stool sample,Muestra de heces,Procedimientos,Laboratorio,,,,/stool sam-pul/,Muestra utilizada para pruebas del sistema digestivo.,Please collect a stool sample at home.,,MedlinePlus,https://medlineplus.gov/spanish/,Borrador,,,,Término,,,,,,,Alta,Frecuente,Básica,Demo,2026-07-10,2026-07-10,2026-07-10,1.0,Registro inicial
8,Dosage,Dosis,Medicamentos,Administración,,,,/doh-sij/,Cantidad y frecuencia indicadas para administrar un medicamento.,Do not change the dosage without calling us.,,MedlinePlus,https://medlineplus.gov/spanish/,Borrador,,,,Término,,,,,,,Alta,Frecuente,Básica,Demo,2026-07-10,2026-07-10,2026-07-10,1.0,Registro inicial
9,Kidney,Riñón,Anatomía,Urinario,,,,/kid-nee/,Órgano que filtra la sangre y produce orina.,The scan shows a kidney stone.,,MedlinePlus,https://medlineplus.gov/spanish/,Borrador,,,,Término,,,,,,,Alta,Frecuente,Básica,Demo,2026-07-10,2026-07-10,2026-07-10,1.0,Registro inicial
10,Sprain,Esguince,Condiciones,Musculoesquelético,,,,/sprayn/,Lesión de uno o más ligamentos alrededor de una articulación.,The X-ray ruled out a fracture; it is a sprain.,,MedlinePlus,https://medlineplus.gov/spanish/,Borrador,,,,Término,,,,,,,Alta,Frecuente,Básica,Demo,2026-07-10,2026-07-10,2026-07-10,1.0,Registro inicial
